⺀	[⺀,bīng_èr,部首補充,U+2E80]
⺁	[,yì,部首補充,U+2E81]
⺂	[乛,0,部首補充,U+2E82]
⺃	[⺃,0,部首補充,U+2E83]
⺄	[乛,0,部首補充,U+2E84]
⺅	[亻,0,部首補充,U+2E85]
⺆	[,0,部首補充,U+2E86]
⺇	[,0,部首補充,U+2E87]
⺈	[,0,部首補充,U+2E88]
⺉	[⺉,0,部首補充,U+2E89]
⺊	[,0,部首補充,U+2E8A]
⺋	[㔾,0,部首補充,U+2E8B]
⺌	[,0,部首補充,U+2E8C]
⺍	[,0,部首補充,U+2E8D]
⺎	[兀,0,部首補充,U+2E8E]
⺏	[八儿,0,部首補充,U+2E8F]
⺐	[尢,0,部首補充,U+2E90]
⺑	[八几,0,部首補充,U+2E91]
⺒	[巳,0,部首補充,U+2E92]
⺓	[幺,0,部首補充,U+2E93]
⺔	[彑,0,部首補充,U+2E94]
⺕	[彐,0,部首補充,U+2E95]
⺖	[忄,0,部首補充,U+2E96]
⺗	[⺗,0,部首補充,U+2E97]
⺘	[𘠲,0,部首補充,U+2E98]
⺙	[攵,0,部首補充,U+2E99]
⺛	[旡,0,部首補充,U+2E9B]
⺜	[二,0,部首補充,U+2E9C]
⺝	[,0,部首補充,U+2E9D]
⺞	[夕,0,部首補充,U+2E9E]
⺟	[母,0,部首補充,U+2E9F]
⺠	[民,0,部首補充,U+2EA0]
⺡	[氵,0,部首補充,U+2EA1]
⺢	[氺,0,部首補充,U+2EA2]
⺣	[灬,0,部首補充,U+2EA3]
⺤	[爫,0,部首補充,U+2EA4]
⺥	[⺥,0,部首補充,U+2EA5]
⺦	[丬,0,部首補充,U+2EA6]
⺧	[,0,部首補充,U+2EA7]
⺨	[犭,0,部首補充,U+2EA8]
⺩	[⺩,0,部首補充,U+2EA9]
⺪	[,0,部首補充,U+2EAA]
⺫	[罒,0,部首補充,U+2EAB]
⺬	[⺬,0,部首補充,U+2EAC]
⺭	[礻,0,部首補充,U+2EAD]
⺮	[,0,部首補充,U+2EAE]
⺯	[⺯,0,部首補充,U+2EAF]
⺰	[纟,0,部首補充,U+2EB0]
⺱	[㐅,0,部首補充,U+2EB1]
⺲	[罒,0,部首補充,U+2EB2]
⺳	[冖八,0,部首補充,U+2EB3]
⺴	[冖儿,0,部首補充,U+2EB4]
⺵	[,0,部首補充,U+2EB5]
⺶	[⺶,0,部首補充,U+2EB6]
⺷	[,0,部首補充,U+2EB7]
⺸	[⻀干,0,部首補充,U+2EB8]
⺹	[耂,0,部首補充,U+2EB9]
⺺	[⺺,0,部首補充,U+2EBA]
⺻	[⺻,0,部首補充,U+2EBB]
⺼	[⺼,0,部首補充,U+2EBC]
⺽	[⺽,0,部首補充,U+2EBD]
⺾	[卄,0,部首補充,U+2EBE]
⺿	[⺿,0,部首補充,U+2EBF]
⻀	[⻀,0,部首補充,U+2EC0]
⻁	[虍几,0,部首補充,U+2EC1]
⻂	[衤,0,部首補充,U+2EC2]
⻃	[西,0,部首補充,U+2EC3]
⻄	[西,0,部首補充,U+2EC4]
⻅	[见,0,部首補充,U+2EC5]
⻆	[角,0,部首補充,U+2EC6]
⻇	[冂仌,0,部首補充,U+2EC7]
⻈	[讠,0,部首補充,U+2EC8]
⻉	[贝,0,部首補充,U+2EC9]
⻊	[,0,部首補充,U+2ECA]
⻋	[车,0,部首補充,U+2ECB]
⻌	[辶,0,部首補充,U+2ECC]
⻍	[辶,0,部首補充,U+2ECD]
⻎	[辶,0,部首補充,U+2ECE]
⻏	[阝,0,部首補充,U+2ECF]
⻐	[钅,0,部首補充,U+2ED0]
⻑	[⻑,0,部首補充,U+2ED1]
⻒	[镸,0,部首補充,U+2ED2]
⻓	[长,0,部首補充,U+2ED3]
⻔	[门,0,部首補充,U+2ED4]
⻕	[丿𮍌,0,部首補充,U+2ED5]
⻖	[阝,0,部首補充,U+2ED6]
⻗	[,0,部首補充,U+2ED7]
⻘	[龶,0,部首補充,U+2ED8]
⻙	[韦,0,部首補充,U+2ED9]
⻚	[页,0,部首補充,U+2EDA]
