 0 BMP	U+0000..U+007F	基本拉丁字母
 0 BMP	U+0080..U+00FF	拉丁字母补充-1
 0 BMP	U+0100..U+017F	拉丁字母扩展-A
 0 BMP	U+0180..U+024F	拉丁字母扩展-B
 0 BMP	U+0250..U+02AF	国际音标扩展
 0 BMP	U+02B0..U+02FF	占位修饰符号
 0 BMP	U+0300..U+036F	组合附加符号
 0 BMP	U+0370..U+03FF	希腊字母和科普特字母
 0 BMP	U+0400..U+04FF	西里尔字母
 0 BMP	U+0500..U+052F	西里尔字母补充
 0 BMP	U+0530..U+058F	亚美尼亚字母
 0 BMP	U+0590..U+05FF	希伯来文字母
 0 BMP	U+0600..U+06FF	阿拉伯文字母
 0 BMP	U+0700..U+074F	叙利亚字母
 0 BMP	U+0750..U+077F	阿拉伯文补充
 0 BMP	U+0780..U+07BF	它拿字母
 0 BMP	U+07C0..U+07FF	西非书面文字
 0 BMP	U+0800..U+083F	撒玛利亚字母
 0 BMP	U+0840..U+085F	曼达安字母
 0 BMP	U+0860..U+086F	叙利亚文补充
 0 BMP	U+0870..U+089F	阿拉伯字母扩展-B
 0 BMP	U+08A0..U+08FF	阿拉伯字母扩展-A
 0 BMP	U+0900..U+097F	天城文
 0 BMP	U+0980..U+09FF	孟加拉文
 0 BMP	U+0A00..U+0A7F	古木基文
 0 BMP	U+0A80..U+0AFF	古吉拉特文
 0 BMP	U+0B00..U+0B7F	奥里亚文
 0 BMP	U+0B80..U+0BFF	泰米尔文
 0 BMP	U+0C00..U+0C7F	泰卢固文
 0 BMP	U+0C80..U+0CFF	卡纳达文
 0 BMP	U+0D00..U+0D7F	马拉雅拉姆文
 0 BMP	U+0D80..U+0DFF	僧伽罗文
 0 BMP	U+0E00..U+0E7F	泰文
 0 BMP	U+0E80..U+0EFF	寮文
 0 BMP	U+0F00..U+0FFF	藏文
 0 BMP	U+1000..U+109F	缅甸文
 0 BMP	U+10A0..U+10FF	格鲁吉亚字母
 0 BMP	U+1100..U+11FF	谚文字母
 0 BMP	U+1200..U+137F	埃塞俄比亚字母
 0 BMP	U+1380..U+139F	埃塞俄比亚字母补充
 0 BMP	U+13A0..U+13FF	切罗基文
 0 BMP	U+1400..U+167F	统一加拿大原住民音节文字
 0 BMP	U+1680..U+169F	欧甘字母
 0 BMP	U+16A0..U+16FF	卢恩字母
 0 BMP	U+1700..U+171F	他加禄字母
 0 BMP	U+1720..U+173F	哈努诺文
 0 BMP	U+1740..U+175F	布希德字母
 0 BMP	U+1760..U+177F	塔格班瓦字母
 0 BMP	U+1780..U+17FF	高棉文
 0 BMP	U+1800..U+18AF	蒙古文
 0 BMP	U+18B0..U+18FF	统一加拿大原住民音节文字扩展
 0 BMP	U+1900..U+194F	林布文
 0 BMP	U+1950..U+197F	德宏傣文
 0 BMP	U+1980..U+19DF	新傣仂文
 0 BMP	U+19E0..U+19FF	高棉文符号
 0 BMP	U+1A00..U+1A1F	布吉文
 0 BMP	U+1A20..U+1AAF	老傣仂文
 0 BMP	U+1AB0..U+1AFF	组合附加符号扩展
 0 BMP	U+1B00..U+1B7F	巴厘字母
 0 BMP	U+1B80..U+1BBF	巽他字母
 0 BMP	U+1BC0..U+1BFF	巴塔克字母
 0 BMP	U+1C00..U+1C4F	绒巴文
 0 BMP	U+1C50..U+1C7F	桑塔利文
 0 BMP	U+1C80..U+1C8F	西里尔字母扩展-C
 0 BMP	U+1C90..U+1CBF	格鲁吉亚字母扩展
 0 BMP	U+1CC0..U+1CCF	巽他字母补充
 0 BMP	U+1CD0..U+1CFF	吠陀扩展
 0 BMP	U+1D00..U+1D7F	音标扩展
 0 BMP	U+1D80..U+1DBF	音标扩展补充
 0 BMP	U+1DC0..U+1DFF	组合附加符号补充
 0 BMP	U+1E00..U+1EFF	拉丁字母扩展附加
 0 BMP	U+1F00..U+1FFF	希腊字母扩展
 0 BMP	U+2000..U+206F	一般标点
 0 BMP	U+2070..U+209F	上标及下标
 0 BMP	U+20A0..U+20CF	货币符号
 0 BMP	U+20D0..U+20FF	符号用组合附加符号
 0 BMP	U+2100..U+214F	类字母符号
 0 BMP	U+2150..U+218F	数字形式
 0 BMP	U+2190..U+21FF	箭头
 0 BMP	U+2200..U+22FF	数学运算符
 0 BMP	U+2300..U+23FF	杂项技术符号
 0 BMP	U+2400..U+243F	控制图形
 0 BMP	U+2440..U+245F	光学字符识别
 0 BMP	U+2460..U+24FF	带圈字母数字
 0 BMP	U+2500..U+257F	制表符
 0 BMP	U+2580..U+259F	方块元素
 0 BMP	U+25A0..U+25FF	几何图形
 0 BMP	U+2600..U+26FF	杂项符号
 0 BMP	U+2700..U+27BF	装饰符号
 0 BMP	U+27C0..U+27EF	杂项数学符号-A
 0 BMP	U+27F0..U+27FF	追加箭头-A
 0 BMP	U+2800..U+28FF	点字图案
 0 BMP	U+2900..U+297F	追加箭头-B
 0 BMP	U+2980..U+29FF	杂项数学符号-B
 0 BMP	U+2A00..U+2AFF	补充数学运算符
 0 BMP	U+2B00..U+2BFF	杂项符号和箭头
 0 BMP	U+2C00..U+2C5F	格拉哥里字母
 0 BMP	U+2C60..U+2C7F	拉丁字母扩展-C
 0 BMP	U+2C80..U+2CFF	科普特字母
 0 BMP	U+2D00..U+2D2F	格鲁吉亚字母补充
 0 BMP	U+2D30..U+2D7F	提非纳文
 0 BMP	U+2D80..U+2DDF	埃塞俄比亚字母扩展
 0 BMP	U+2DE0..U+2DFF	西里尔字母扩展-A
 0 BMP	U+2E00..U+2E7F	补充标点
 0 BMP	U+2E80..U+2EFF	中日韩汉字部首补充
 0 BMP	U+2F00..U+2FDF	康熙部首
 0 BMP	U+2FF0..U+2FFF	表意文字描述字符
 0 BMP	U+3000..U+303F	中日韩符号和标点
 0 BMP	U+3040..U+309F	平假名
 0 BMP	U+30A0..U+30FF	片假名
 0 BMP	U+3100..U+312F	注音符号
 0 BMP	U+3130..U+318F	谚文兼容字母
 0 BMP	U+3190..U+319F	汉文训读符号
 0 BMP	U+31A0..U+31BF	注音符号扩展
 0 BMP	U+31C0..U+31EF	中日韩笔画
 0 BMP	U+31F0..U+31FF	片假名语音扩展
 0 BMP	U+3200..U+32FF	中日韩带圈字符及月份
 0 BMP	U+3300..U+33FF	中日韩兼容字符
 0 BMP	U+3400..U+4DBF	CJK-A
 0 BMP	U+4DC0..U+4DFF	易经六十四卦符号
